Words,TF-IDF
долон,0.007009114982539439
сумраке,0.005480396921827493
кожей,0.004005208561451108
совершенную,0.004005208561451108
соглядатай,0.0039145692298767805
диомед,0.0032838801711860864
разведать,0.003003906421088331
ночью,0.002965321344180555
одиссей,0.00296165933659156
тидея,0.0027174608103614026
стана,0.00262065953264905
стражей,0.00262065953264905
нужда,0.00262065953264905
топот,0.0023487415379260684
войско,0.0023487415379260684
воинственник,0.0023487415379260684
пустились,0.0023487415379260684
ночи,0.0021838829438742082
стражи,0.0021838829438742082
геренский,0.002163193381732235
нестор,0.0021248636401792324
правду,0.0020768235432030873
проникнуть,0.002002604280725554
приподнявши,0.002002604280725554
фракийские,0.002002604280725554
опасно,0.002002604280725554
резовых,0.002002604280725554
упорные,0.002002604280725554
хор<sup>o</sup>вый,0.002002604280725554
постоянно,0.002002604280725554
беспечно,0.002002604280725554
снега,0.002002604280725554
стрегомы,0.002002604280725554
филеева,0.002002604280725554
расспрашивать,0.002002604280725554
совещают,0.002002604280725554
рыжей,0.002002604280725554
покоятся,0.002002604280725554
рез,0.002002604280725554
разбудим,0.002002604280725554
диомеду,0.00197688089612037
троянского,0.00197688089612037
нелея,0.001965494649486787
совете,0.001965494649486787
одиссею,0.001965494649486787
спали,0.001965494649486787
фракиян,0.0019410434359724304
сон,0.0017306862860025727
надел,0.0016935766547638061
бледный,0.0016935766547638061
клялся,0.0016935766547638061
награда,0.0016935766547638061
многоумный,0.0016549915778560301
соглядатая,0.0015658276919507123
хитоном,0.0015658276919507123
означил,0.0015658276919507123
побуждает,0.0015658276919507123
колчан,0.0015658276919507123
видал,0.0015658276919507123
встань,0.0015658276919507123
спят,0.0015658276919507123
неправду,0.0015658276919507123
красивых,0.0015658276919507123
трупам,0.0015658276919507123
ответствуй,0.0015658276919507123
ополчился,0.0015658276919507123
подходит,0.0015658276919507123
троянское,0.0015658276919507123
свершил,0.0015658276919507123
идущим,0.0015658276919507123
просить,0.0015658276919507123
середине,0.0015658276919507123
дойти,0.0015658276919507123
отважное,0.0015658276919507123
мнят,0.0015658276919507123
диомеда,0.0015451381298087394
одиссея,0.001384549028802058
встал,0.001310329766324525
блестящую,0.001310329766324525
тидею,0.001310329766324525
тидееву,0.001310329766324525
полагают,0.001310329766324525
изнуренные,0.001310329766324525
одолели,0.001310329766324525
сну,0.001310329766324525
придешь,0.001310329766324525
принесу,0.001310329766324525
отступить,0.001310329766324525
пят,0.001310329766324525
трудам,0.001310329766324525
нелид,0.001310329766324525
следовал,0.001310329766324525
тревога,0.001310329766324525
троянский,0.001229013848093316
конник,0.001229013848093316
шлем,0.001188742749649457
вести,0.0011646260615834584
совета,0.0011646260615834584
собой,0.0011646260615834584
менелай,0.001159016531006854
ахейскому,0.0011290511031758707
ходя,0.0011290511031758707
враждебный,0.0011290511031758707
стражу,0.0011290511031758707
троянском,0.0011290511031758707
сна,0.0011290511031758707
призови,0.0011290511031758707
скажи,0.0011290511031758707
предводителей,0.0011290511031758707
ремнями,0.0011290511031758707
приметил,0.0011290511031758707
дороги,0.0011290511031758707
трупов,0.0011290511031758707
города,0.0011290511031758707
краю,0.0011290511031758707
укрощенные,0.0011290511031758707
вида,0.0011290511031758707
ложа,0.0011290511031758707
союзники,0.0011290511031758707
вдохнула,0.0011290511031758707
мраке,0.0011290511031758707
услышь,0.0011290511031758707
дум,0.0011290511031758707
фразимед,0.0011290511031758707
предстали,0.0011290511031758707
плесницы,0.0011290511031758707
хочет,0.0011033277185706868
слава,0.0010919414719371041
агамемнон,0.0010864810209015438
вождей,0.0010384117716015437
покрылся,0.0010384117716015437
острым,0.0010384117716015437
плечи,0.0010384117716015437
троянца,0.0010384117716015437
герои,0.001036580767807046
стану,0.0010189223568423918
отвратит,0.001001302140362777
побивай,0.001001302140362777
почивавшего,0.001001302140362777
схватили,0.001001302140362777
осторожным,0.001001302140362777
будить,0.001001302140362777
смывали,0.001001302140362777
увидеться,0.001001302140362777
свежем,0.001001302140362777
окликнись,0.001001302140362777
спутницей,0.001001302140362777
успеха,0.001001302140362777
горe,0.001001302140362777
окровавленной,0.001001302140362777
медлителен,0.001001302140362777
многократно,0.001001302140362777
благосклонною,0.001001302140362777
постелью,0.001001302140362777
крепкозданный,0.001001302140362777
подыми,0.001001302140362777
сбруям,0.001001302140362777
рассказывал,0.001001302140362777
посетитель,0.001001302140362777
струилась,0.001001302140362777
пропадал,0.001001302140362777
цевниц,0.001001302140362777
узд,0.001001302140362777
оставьте,0.001001302140362777
трогая,0.001001302140362777
вонзенные,0.001001302140362777
борозды,0.001001302140362777
перепутанный,0.001001302140362777
смятенному,0.001001302140362777
дорог,0.001001302140362777
пятнами,0.001001302140362777
пустое,0.001001302140362777
претерпят,0.001001302140362777
осмотрим,0.001001302140362777
быстры,0.001001302140362777
пригласили,0.001001302140362777
непригожий,0.001001302140362777
вызвался,0.001001302140362777
неминуемой,0.001001302140362777
стройных,0.001001302140362777
гиппокоона,0.001001302140362777
придете,0.001001302140362777
дерзновенную,0.001001302140362777
чей-либо,0.001001302140362777
разбудил,0.001001302140362777
облитыми,0.001001302140362777
свистнул,0.001001302140362777
отвязывал,0.001001302140362777
острии,0.001001302140362777
сходит,0.001001302140362777
пощадите,0.001001302140362777
предстояла,0.001001302140362777
зарублен,0.001001302140362777
предпочтительно,0.001001302140362777
погонял,0.001001302140362777
сходил,0.001001302140362777
токи,0.001001302140362777
полстью,0.001001302140362777
грустной,0.001001302140362777
сосущим,0.001001302140362777
хвали,0.001001302140362777
асоповых,0.001001302140362777
кончена,0.001001302140362777
новопришлые,0.001001302140362777
ждущий,0.001001302140362777
неутомим,0.001001302140362777
умащенные,0.001001302140362777
замахнул,0.001001302140362777
начинания,0.001001302140362777
красивой,0.001001302140362777
станы,0.001001302140362777
охотнее,0.001001302140362777
львиною,0.001001302140362777
двулезвенный,0.001001302140362777
воздымаясь,0.001001302140362777
начальствует,0.001001302140362777
величься,0.001001302140362777
почивавший,0.001001302140362777
сторожили,0.001001302140362777
изрытый,0.001001302140362777
изумлялись,0.001001302140362777
взываем,0.001001302140362777
умолять,0.001001302140362777
хули,0.001001302140362777
драгоценным,0.001001302140362777
набредши,0.001001302140362777
приступивши,0.001001302140362777
глухой,0.001001302140362777
свяжите,0.001001302140362777
покрывшись,0.001001302140362777
особливых,0.001001302140362777
опасной,0.001001302140362777
занесенным,0.001001302140362777
замысля,0.001001302140362777
покрывшийся,0.001001302140362777
голодалый,0.001001302140362777
яслям,0.001001302140362777
вопросил,0.001001302140362777
морскою,0.001001302140362777
очистили,0.001001302140362777
отринь,0.001001302140362777
слуху,0.001001302140362777
ковер,0.001001302140362777
автолик,0.001001302140362777
долонов,0.001001302140362777
ходи,0.001001302140362777
порядку,0.001001302140362777
скобе,0.001001302140362777
вынести,0.001001302140362777
сбежавшего,0.001001302140362777
сложены,0.001001302140362777
потрудиться,0.001001302140362777
бредешь,0.001001302140362777
третия,0.001001302140362777
кровавым,0.001001302140362777
велите,0.001001302140362777
медленней,0.001001302140362777
доходящей,0.001001302140362777
натянут,0.001001302140362777
изловим,0.001001302140362777
веселости,0.001001302140362777
постараюсь,0.001001302140362777
делит,0.001001302140362777
аякса3,0.001001302140362777
волочить,0.001001302140362777
отпустим,0.001001302140362777
отцовском,0.001001302140362777
широкопадущий,0.001001302140362777
ходите,0.001001302140362777
незнания,0.001001302140362777
скучным,0.001001302140362777
палладой,0.001001302140362777
привычные,0.001001302140362777
вещавшей,0.001001302140362777
напрасный,0.001001302140362777
подавая,0.001001302140362777
гнались,0.001001302140362777
привечал,0.001001302140362777
положиться,0.001001302140362777
спасение4,0.001001302140362777
пробраться,0.001001302140362777
кривой,0.001001302140362777
труде,0.001001302140362777
привязаны,0.001001302140362777
доступлю,0.001001302140362777
соскочили,0.001001302140362777
предаваться,0.001001302140362777
меонян,0.001001302140362777
подбородок,0.001001302140362777
горем,0.001001302140362777
смеситься,0.001001302140362777
локоть,0.001001302140362777
вознося,0.001001302140362777
взрыдал,0.001001302140362777
изменилось,0.001001302140362777
ахенского,0.001001302140362777
бросается,0.001001302140362777
решить,0.001001302140362777
молу,0.001001302140362777
ведите,0.001001302140362777
истреблявший,0.001001302140362777
закинул,0.001001302140362777
видной,0.001001302140362777
звуку,0.001001302140362777
дерзало,0.001001302140362777
стражебною,0.001001302140362777
хотящие,0.001001302140362777
дерзнет,0.001001302140362777
вымышляет,0.001001302140362777
тринадцатый,0.001001302140362777
становища,0.001001302140362777
долона,0.001001302140362777
овчарни,0.001001302140362777
отбивай,0.001001302140362777
столовьем,0.001001302140362777
кадмеянам,0.001001302140362777
брось,0.001001302140362777
некто,0.001001302140362777
красивоотесанных,0.001001302140362777
дремотой,0.001001302140362777
погрузившися,0.001001302140362777
выволакивал,0.001001302140362777
совершила5,0.001001302140362777
покрытыми,0.001001302140362777
постелей,0.001001302140362777
нынешней,0.001001302140362777
воинскому,0.001001302140362777
пробудит,0.001001302140362777
встревоженном,0.001001302140362777
потрудимся,0.001001302140362777
пардовой,0.001001302140362777
перегнал,0.001001302140362777
чаю,0.001001302140362777
шуму,0.001001302140362777
велению,0.001001302140362777
ходишь,0.001001302140362777
сопутнику,0.001001302140362777
поднятое,0.001001302140362777
ночлеги,0.001001302140362777
вопрошал,0.001001302140362777
препоясывал,0.001001302140362777
душ,0.001001302140362777
сдавался,0.001001302140362777
омывались,0.001001302140362777
резова,0.001001302140362777
заставляет,0.001001302140362777
тронув,0.001001302140362777
ведомец,0.001001302140362777
бедах,0.001001302140362777
неисчетным,0.001001302140362777
ночное,0.001001302140362777
гонящими,0.001001302140362777
самая,0.001001302140362777
острозубые,0.001001302140362777
